date,sales,stock,price,year,month,day_of_week,day_name,revenue,product_name,product_category
15/02/2014,116,6962,1.09,2014,2,5,Sat,126.44,Sony Headphones,Electronics
16/02/2014,87,6875,1.09,2014,2,6,Sun,94.83,Car Oil,Automotive
17/02/2014,66,6809,1.09,2014,2,0,Mon,71.94,Garden Shovel,Home & Garden
18/02/2014,44,6765,1.09,2014,2,1,Tue,47.96,Novel Book,Books
19/02/2014,33,6731,1.09,2014,2,2,Wed,35.97,Car Oil,Automotive
20/02/2014,13,6718,1.09,2014,2,3,Thu,14.17,Samsung Galaxy S22,Electronics
21/02/2014,53,6665,1.09,2014,2,4,Fri,57.77,Organic Milk,Groceries
22/02/2014,72,6593,1.09,2014,2,5,Sat,78.48,Car Oil,Automotive
23/02/2014,50,6543,1.09,2014,2,6,Sun,54.5,Baby Diapers,Groceries
24/02/2014,15,6528,1.09,2014,2,0,Mon,16.35,Novel Book,Books
25/02/2014,12,6516,1.09,2014,2,1,Tue,13.08,Women Jeans,Clothing
26/02/2014,71,6445,1.09,2014,2,2,Wed,77.39,Car Oil,Automotive
27/02/2014,37,6412,1.09,2014,2,3,Thu,40.33,Women Jeans,Clothing
28/02/2014,83,6329,1.09,2014,2,4,Fri,90.47,Samsung Galaxy S22,Electronics
01/03/2014,94,6237,1.09,2014,3,5,Sat,102.46,Women Jeans,Clothing
02/03/2014,59,6178,1.09,2014,3,6,Sun,64.31,Men T-Shirt,Clothing
03/03/2014,49,6129,1.09,2014,3,0,Mon,53.41,Car Oil,Automotive
05/03/2014,65,6012,1.09,2014,3,2,Wed,70.85,Wiper Blades,Automotive
06/03/2014,55,5957,1.09,2014,3,3,Thu,59.95,HP Laptop,Electronics
07/03/2014,77,5880,1.09,2014,3,4,Fri,83.93,Novel Book,Books
08/03/2014,122,5755,1.09,2014,3,5,Sat,132.98,Garden Shovel,Home & Garden
09/03/2014,83,5672,1.09,2014,3,6,Sun,90.47,HP Laptop,Electronics
10/03/2014,75,5597,1.09,2014,3,0,Mon,81.75,Shampoo,Beauty & Health
11/03/2014,48,5549,1.09,2014,3,1,Tue,52.32,Wiper Blades,Automotive
12/03/2014,45,5504,1.29,2014,3,2,Wed,58.05,Novel Book,Books
13/03/2014,78,4659,1.29,2014,3,3,Thu,100.62,Toy Car,Toys
14/03/2014,122,4537,1.29,2014,3,4,Fri,157.38,HP Laptop,Electronics
16/03/2014,116,4274,1.29,2014,3,6,Sun,149.64,Face Cream,Beauty & Health
17/03/2014,48,4228,1.29,2014,3,0,Mon,61.92,Car Oil,Automotive
18/03/2014,29,4199,1.29,2014,3,1,Tue,37.41,Sony Headphones,Electronics
19/03/2014,91,4107,1.29,2014,3,2,Wed,117.39,Face Cream,Beauty & Health
20/03/2014,59,4048,1.29,2014,3,3,Thu,76.11,Organic Milk,Groceries
21/03/2014,68,3980,1.29,2014,3,4,Fri,87.72,iPhone 14,Electronics
22/03/2014,137,3843,1.28,2014,3,5,Sat,175.36,Lego Set,Toys
23/03/2014,56,3787,1.29,2014,3,6,Sun,72.24,Notebook,Office Supplies
24/03/2014,13,3774,1.29,2014,3,0,Mon,16.77,Basketball,Sports
25/03/2014,45,3729,1.29,2014,3,1,Tue,58.05,Organic Milk,Groceries
26/03/2014,25,3704,1.29,2014,3,2,Wed,32.25,iPhone 14,Electronics
27/03/2014,25,3679,1.29,2014,3,3,Thu,32.25,Wall Paint,Home & Garden
28/03/2014,174,3505,1.19,2014,3,4,Fri,207.06,Organic Milk,Groceries
29/03/2014,138,3367,1.09,2014,3,5,Sat,150.42,Basketball,Sports
30/03/2014,64,3303,1.09,2014,3,6,Sun,69.76,Notebook,Office Supplies
31/03/2014,77,3226,1.09,2014,3,0,Mon,83.93,HP Laptop,Electronics
01/04/2014,62,3164,1.09,2014,4,1,Tue,67.58,Women Jeans,Clothing
02/04/2014,119,3045,1.09,2014,4,2,Wed,129.71,Wall Paint,Home & Garden
03/04/2014,89,2956,1.09,2014,4,3,Thu,97.01,Toy Car,Toys
04/04/2014,133,2823,1.09,2014,4,4,Fri,144.97,Yoga Mat,Sports
05/04/2014,180,2643,1.09,2014,4,5,Sat,196.2,Basketball,Sports
06/04/2014,121,2522,1.09,2014,4,6,Sun,131.89,Wall Paint,Home & Garden
07/04/2014,72,2450,1.09,2014,4,0,Mon,78.48,Face Cream,Beauty & Health
08/04/2014,91,2359,1.09,2014,4,1,Tue,99.19,Shampoo,Beauty & Health
09/04/2014,53,2306,1.09,2014,4,2,Wed,57.77,Samsung Galaxy S22,Electronics
10/04/2014,47,2259,1.09,2014,4,3,Thu,51.23,Sony Headphones,Electronics
11/04/2014,42,2217,1.09,2014,4,4,Fri,45.78,Lego Set,Toys
12/04/2014,124,2092,1.09,2014,4,5,Sat,135.16,Toy Car,Toys
13/04/2014,97,1995,1.09,2014,4,6,Sun,105.73,Wiper Blades,Automotive
14/04/2014,119,1875,1.09,2014,4,0,Mon,129.71,Organic Milk,Groceries
15/04/2014,34,1841,1.29,2014,4,1,Tue,43.86,Lego Set,Toys
16/04/2014,18,1823,1.29,2014,4,2,Wed,23.22,Car Oil,Automotive
17/04/2014,24,1799,1.29,2014,4,3,Thu,30.96,Sony Headphones,Electronics
18/04/2014,57,1742,1.29,2014,4,4,Fri,73.53,Men T-Shirt,Clothing
19/04/2014,61,1681,1.29,2014,4,5,Sat,78.69,Sony Headphones,Electronics
20/04/2014,30,1651,1.29,2014,4,6,Sun,38.7,Basketball,Sports
21/04/2014,96,1554,1.29,2014,4,0,Mon,123.84,Novel Book,Books
22/04/2014,0,1525,1.29,2014,4,1,Tue,0,Yoga Mat,Sports
23/04/2014,37,1488,1.29,2014,4,2,Wed,47.73,Sony Headphones,Electronics
24/04/2014,30,1458,1.29,2014,4,3,Thu,38.7,Wall Paint,Home & Garden
25/04/2014,38,1420,1.29,2014,4,4,Fri,49.02,Toy Car,Toys
26/04/2014,88,1332,1.29,2014,4,5,Sat,113.52,Wall Paint,Home & Garden
27/04/2014,64,1268,1.29,2014,4,6,Sun,82.56,Yoga Mat,Sports
28/04/2014,13,1255,1.29,2014,4,0,Mon,16.77,Samsung Galaxy S22,Electronics
29/04/2014,20,1255,1.29,2014,4,1,Tue,25.8,Notebook,Office Supplies
30/04/2014,31,1457,1.29,2014,4,2,Wed,39.99,Wiper Blades,Automotive
01/05/2014,129,1263,1.29,2014,5,3,Thu,166.41,Wall Paint,Home & Garden
02/05/2014,94,1169,1.29,2014,5,4,Fri,121.26,HP Laptop,Electronics
03/05/2014,129,1904,1.29,2014,5,5,Sat,166.41,Basketball,Sports
04/05/2014,126,1778,1.29,2014,5,6,Sun,162.54,Basketball,Sports
05/05/2014,70,1708,1.29,2014,5,0,Mon,90.3,iPhone 14,Electronics
06/05/2014,48,1708,1.29,2014,5,1,Tue,61.92,Samsung Galaxy S22,Electronics
07/05/2014,123,2044,1.29,2014,5,2,Wed,158.67,Sony Headphones,Electronics
08/05/2014,87,1930,1.29,2014,5,3,Thu,112.23,Wiper Blades,Automotive
09/05/2014,65,1961,1.29,2014,5,4,Fri,83.85,Novel Book,Books
10/05/2014,102,1859,1.29,2014,5,5,Sat,131.58,Wiper Blades,Automotive
11/05/2014,78,1781,1.29,2014,5,6,Sun,100.62,iPhone 14,Electronics
12/05/2014,49,1828,1.29,2014,5,0,Mon,63.21,Wiper Blades,Automotive
13/05/2014,0,1800,1.29,2014,5,1,Tue,0,Women Jeans,Clothing
14/05/2014,68,1687,1.09,2014,5,2,Wed,74.12,Yoga Mat,Sports
15/05/2014,102,1969,1.09,2014,5,3,Thu,111.18,Face Cream,Beauty & Health
16/05/2014,88,1977,1.09,2014,5,4,Fri,95.92,Wiper Blades,Automotive
17/05/2014,170,1807,1.09,2014,5,5,Sat,185.3,Yoga Mat,Sports
18/05/2014,152,1655,1.09,2014,5,6,Sun,165.68,Face Cream,Beauty & Health
19/05/2014,90,1661,1.09,2014,5,0,Mon,98.1,Men T-Shirt,Clothing
20/05/2014,101,1751,1.09,2014,5,1,Tue,110.09,Women Jeans,Clothing
21/05/2014,71,1680,1.43,2014,5,2,Wed,101.53,Novel Book,Books
22/05/2014,48,2016,1.49,2014,5,3,Thu,71.52,Garden Shovel,Home & Garden
23/05/2014,40,1976,1.49,2014,5,4,Fri,59.6,Basketball,Sports
24/05/2014,93,1883,1.49,2014,5,5,Sat,138.57,Wall Paint,Home & Garden
25/05/2014,45,1838,1.49,2014,5,6,Sun,67.05,Yoga Mat,Sports
26/05/2014,58,1876,1.49,2014,5,0,Mon,86.42,HP Laptop,Electronics
27/05/2014,53,1919,1.49,2014,5,1,Tue,78.97,Notebook,Office Supplies
28/05/2014,42,3317,1.49,2014,5,2,Wed,62.58,Sony Headphones,Electronics
29/05/2014,52,3841,1.49,2014,5,3,Thu,77.48,Organic Milk,Groceries
30/05/2014,29,3811,1.99,2014,5,4,Fri,57.71,Sony Headphones,Electronics
31/05/2014,91,3720,1.99,2014,5,5,Sat,181.09,Organic Milk,Groceries
01/06/2014,75,3645,1.99,2014,6,6,Sun,149.25,Notebook,Office Supplies
02/06/2014,75,3570,1.99,2014,6,0,Mon,149.25,Lego Set,Toys
03/06/2014,179,3391,1.19,2014,6,1,Tue,213.01,Wiper Blades,Automotive
04/06/2014,252,3140,1.19,2014,6,2,Wed,299.88,Novel Book,Books
05/06/2014,202,2938,1.19,2014,6,3,Thu,240.38,Organic Milk,Groceries
06/06/2014,161,2777,1.19,2014,6,4,Fri,191.59,Garden Shovel,Home & Garden
07/06/2014,331,2446,1.19,2014,6,5,Sat,393.89,Men T-Shirt,Clothing
08/06/2014,271,2175,1.19,2014,6,6,Sun,322.49,Shampoo,Beauty & Health
09/06/2014,146,1949,1.19,2014,6,0,Mon,173.74,Men T-Shirt,Clothing
10/06/2014,2,1946,1.19,2014,6,1,Tue,2.38,Shampoo,Beauty & Health
11/06/2014,2,2136,1.19,2014,6,2,Wed,2.38,Women Jeans,Clothing
13/06/2014,0,2328,1.49,2014,6,4,Fri,0,Men T-Shirt,Clothing
14/06/2014,0,2328,1.49,2014,6,5,Sat,0,Toy Car,Toys
15/06/2014,13,2315,1.49,2014,6,6,Sun,19.37,Basketball,Sports
16/06/2014,30,2285,1.49,2014,6,0,Mon,44.7,Samsung Galaxy S22,Electronics
17/06/2014,34,2251,1.49,2014,6,1,Tue,50.66,iPhone 14,Electronics
18/06/2014,8,2243,1.49,2014,6,2,Wed,11.92,Organic Milk,Groceries
19/06/2014,67,2176,1.29,2014,6,3,Thu,86.43,Car Oil,Automotive
20/06/2014,41,2135,1.29,2014,6,4,Fri,52.89,Garden Shovel,Home & Garden
21/06/2014,89,2046,1.29,2014,6,5,Sat,114.81,Wall Paint,Home & Garden
22/06/2014,49,1997,1.29,2014,6,6,Sun,63.21,Wall Paint,Home & Garden
23/06/2014,62,2031,1.29,2014,6,0,Mon,79.98,Baby Diapers,Groceries
24/06/2014,81,2046,1.29,2014,6,1,Tue,104.49,Shampoo,Beauty & Health
25/06/2014,42,2004,1.29,2014,6,2,Wed,54.18,Organic Milk,Groceries
26/06/2014,63,2037,1.29,2014,6,3,Thu,81.27,Toy Car,Toys
27/06/2014,107,1930,1.18,2014,6,4,Fri,126.26,Baby Diapers,Groceries
28/06/2014,83,1847,1.19,2014,6,5,Sat,98.77,Yoga Mat,Sports
29/06/2014,102,1745,1.19,2014,6,6,Sun,121.38,Samsung Galaxy S22,Electronics
30/06/2014,62,1779,1.29,2014,6,0,Mon,79.98,Wiper Blades,Automotive
01/07/2014,29,1750,1.29,2014,7,1,Tue,37.41,Wall Paint,Home & Garden
02/07/2014,63,1687,1.29,2014,7,2,Wed,81.27,iPhone 14,Electronics
03/07/2014,97,1590,1.29,2014,7,3,Thu,125.13,Organic Milk,Groceries
04/07/2014,136,1454,1.29,2014,7,4,Fri,175.44,Men T-Shirt,Clothing
05/07/2014,335,1119,1.29,2014,7,5,Sat,432.15,Yoga Mat,Sports
06/07/2014,299,820,1.29,2014,7,6,Sun,385.71,iPhone 14,Electronics
07/07/2014,5,814,1.29,2014,7,0,Mon,6.45,iPhone 14,Electronics
08/07/2014,2,812,1.29,2014,7,1,Tue,2.58,Lego Set,Toys
09/07/2014,9,803,1.29,2014,7,2,Wed,11.61,Lego Set,Toys
10/07/2014,9,794,1.29,2014,7,3,Thu,11.61,Yoga Mat,Sports
11/07/2014,0,794,1.29,2014,7,4,Fri,0,Novel Book,Books
12/07/2014,0,794,1.29,2014,7,5,Sat,0,Women Jeans,Clothing
13/07/2014,0,794,1.29,2014,7,6,Sun,0,Sony Headphones,Electronics
14/07/2014,0,794,1.29,2014,7,0,Mon,0,Shampoo,Beauty & Health
19/07/2014,0,794,1.49,2014,7,5,Sat,0,Basketball,Sports
20/07/2014,0,794,1.49,2014,7,6,Sun,0,Organic Milk,Groceries
21/07/2014,0,794,1.49,2014,7,0,Mon,0,Yoga Mat,Sports
22/07/2014,2,792,1.49,2014,7,1,Tue,2.98,Novel Book,Books
23/07/2014,0,792,1.49,2014,7,2,Wed,0,Novel Book,Books
24/07/2014,0,888,1.49,2014,7,3,Thu,0,Shampoo,Beauty & Health
25/07/2014,15,873,1.49,2014,7,4,Fri,22.35,Novel Book,Books
26/07/2014,9,864,1.49,2014,7,5,Sat,13.41,Women Jeans,Clothing
27/07/2014,13,851,1.49,2014,7,6,Sun,19.37,Novel Book,Books
28/07/2014,15,1220,1.22,2014,7,0,Mon,18.3,Basketball,Sports
29/07/2014,26,1207,2.98,2014,7,1,Tue,77.48,Face Cream,Beauty & Health
30/07/2014,16,1191,1.55,2014,7,2,Wed,24.8,Shampoo,Beauty & Health
31/07/2014,51,1140,1.55,2014,7,3,Thu,79.05,Women Jeans,Clothing
01/08/2014,47,1093,1.55,2014,8,4,Fri,72.85,Sony Headphones,Electronics
02/08/2014,56,1037,1.55,2014,8,5,Sat,86.8,Face Cream,Beauty & Health
03/08/2014,45,992,1.55,2014,8,6,Sun,69.75,Face Cream,Beauty & Health
04/08/2014,40,952,1.55,2014,8,0,Mon,62,Yoga Mat,Sports
05/08/2014,17,935,1.55,2014,8,1,Tue,26.35,Organic Milk,Groceries
06/08/2014,103,832,1.29,2014,8,2,Wed,132.87,Yoga Mat,Sports
07/08/2014,72,760,1.29,2014,8,3,Thu,92.88,Shampoo,Beauty & Health
08/08/2014,56,704,1.29,2014,8,4,Fri,72.24,Novel Book,Books
09/08/2014,0,704,1.29,2014,8,5,Sat,0,Sony Headphones,Electronics
10/08/2014,1,703,1.29,2014,8,6,Sun,1.29,Women Jeans,Clothing
11/08/2014,0,703,1.29,2014,8,0,Mon,0,Men T-Shirt,Clothing
12/08/2014,0,703,1.29,2014,8,1,Tue,0,Novel Book,Books
13/08/2014,0,703,1.29,2014,8,2,Wed,0,Samsung Galaxy S22,Electronics
14/08/2014,0,703,1.29,2014,8,3,Thu,0,Yoga Mat,Sports
15/08/2014,0,703,1.55,2014,8,4,Fri,0,Men T-Shirt,Clothing
16/08/2014,0,703,1.55,2014,8,5,Sat,0,Wiper Blades,Automotive
17/08/2014,0,703,1.55,2014,8,6,Sun,0,Women Jeans,Clothing
18/08/2014,0,2143,1.55,2014,8,0,Mon,0,Women Jeans,Clothing
19/08/2014,0,2143,1.55,2014,8,1,Tue,0,Notebook,Office Supplies
20/08/2014,68,2075,1.55,2014,8,2,Wed,105.4,Notebook,Office Supplies
21/08/2014,169,1908,1.19,2014,8,3,Thu,201.11,HP Laptop,Electronics
22/08/2014,213,1695,1.19,2014,8,4,Fri,253.47,Novel Book,Books
23/08/2014,338,1356,1.19,2014,8,5,Sat,402.22,Face Cream,Beauty & Health
24/08/2014,129,1227,1.19,2014,8,6,Sun,153.51,Face Cream,Beauty & Health
26/08/2014,13,1271,1.19,2014,8,1,Tue,15.47,Shampoo,Beauty & Health
27/08/2014,85,1186,1.19,2014,8,2,Wed,101.15,Baby Diapers,Groceries
29/08/2014,0,1186,1.29,2014,8,4,Fri,0,Wall Paint,Home & Garden
30/08/2014,0,1186,1.29,2014,8,5,Sat,0,Yoga Mat,Sports
31/08/2014,0,1186,1.29,2014,8,6,Sun,0,Car Oil,Automotive
01/09/2014,0,1474,1.29,2014,9,0,Mon,0,Garden Shovel,Home & Garden
02/09/2014,0,1474,1.29,2014,9,1,Tue,0,Yoga Mat,Sports
03/09/2014,0,1474,1.29,2014,9,2,Wed,0,Wall Paint,Home & Garden
04/09/2014,0,1474,1.29,2014,9,3,Thu,0,Sony Headphones,Electronics
05/09/2014,0,2146,1.29,2014,9,4,Fri,0,Novel Book,Books
06/09/2014,0,2146,1.29,2014,9,5,Sat,0,Sony Headphones,Electronics
07/09/2014,0,2146,1.29,2014,9,6,Sun,0,Car Oil,Automotive
08/09/2014,64,2082,1.29,2014,9,0,Mon,82.56,Wiper Blades,Automotive
09/09/2014,154,1928,1.29,2014,9,1,Tue,198.66,HP Laptop,Electronics
10/09/2014,143,1785,1.29,2014,9,2,Wed,184.47,Sony Headphones,Electronics
11/09/2014,96,1689,1.29,2014,9,3,Thu,123.84,Basketball,Sports
12/09/2014,140,1549,1.29,2014,9,4,Fri,180.6,Wall Paint,Home & Garden
13/09/2014,67,1484,1.29,2014,9,5,Sat,86.43,Organic Milk,Groceries
14/09/2014,3,1481,1.29,2014,9,6,Sun,3.87,Novel Book,Books
15/09/2014,71,1410,1.29,2014,9,0,Mon,91.59,Baby Diapers,Groceries
16/09/2014,58,1352,1.29,2014,9,1,Tue,74.82,Garden Shovel,Home & Garden
17/09/2014,62,1962,1.29,2014,9,2,Wed,79.98,Notebook,Office Supplies
18/09/2014,62,1996,1.29,2014,9,3,Thu,79.98,iPhone 14,Electronics
19/09/2014,62,2126,1.29,2014,9,4,Fri,79.98,Sony Headphones,Electronics
20/09/2014,168,2532,1.29,2014,9,5,Sat,216.72,HP Laptop,Electronics
21/09/2014,99,2433,1.29,2014,9,6,Sun,127.71,Shampoo,Beauty & Health
22/09/2014,39,2394,1.29,2014,9,0,Mon,50.31,Women Jeans,Clothing
23/09/2014,64,2285,1.29,2014,9,1,Tue,82.56,Face Cream,Beauty & Health
24/09/2014,117,2168,1.29,2014,9,2,Wed,150.93,Men T-Shirt,Clothing
25/09/2014,104,2064,1.29,2014,9,3,Thu,134.16,Basketball,Sports
26/09/2014,108,1956,1.29,2014,9,4,Fri,139.32,Yoga Mat,Sports
27/09/2014,234,1014,1.29,2014,9,5,Sat,301.86,Yoga Mat,Sports
28/09/2014,97,917,1.29,2014,9,6,Sun,125.13,HP Laptop,Electronics
29/09/2014,85,832,1.29,2014,9,0,Mon,109.65,Organic Milk,Groceries
30/09/2014,88,1896,1.29,2014,9,1,Tue,113.52,Basketball,Sports
01/10/2014,190,1801,1.29,2014,10,2,Wed,245.1,Basketball,Sports
02/10/2014,163,1637,1.29,2014,10,3,Thu,210.27,HP Laptop,Electronics
03/10/2014,90,1835,1.29,2014,10,4,Fri,116.1,Shampoo,Beauty & Health
04/10/2014,105,1730,1.29,2014,10,5,Sat,135.45,Shampoo,Beauty & Health
05/10/2014,47,1683,1.29,2014,10,6,Sun,60.63,Samsung Galaxy S22,Electronics
06/10/2014,66,2097,1.29,2014,10,0,Mon,85.14,Sony Headphones,Electronics
07/10/2014,84,2109,1.29,2014,10,1,Tue,108.36,Organic Milk,Groceries
08/10/2014,80,2028,1.29,2014,10,2,Wed,103.2,Yoga Mat,Sports
09/10/2014,97,1934,1.29,2014,10,3,Thu,125.13,Garden Shovel,Home & Garden
10/10/2014,64,2254,1.29,2014,10,4,Fri,82.56,Toy Car,Toys
11/10/2014,128,2126,1.29,2014,10,5,Sat,165.12,Baby Diapers,Groceries
12/10/2014,85,2041,1.29,2014,10,6,Sun,109.65,Shampoo,Beauty & Health
13/10/2014,50,2087,1.29,2014,10,0,Mon,64.5,Samsung Galaxy S22,Electronics
14/10/2014,91,1996,1.29,2014,10,1,Tue,117.39,Organic Milk,Groceries
15/10/2014,93,1903,1.29,2014,10,2,Wed,119.97,Baby Diapers,Groceries
16/10/2014,50,1852,1.29,2014,10,3,Thu,64.5,Wall Paint,Home & Garden
17/10/2014,85,2246,1.29,2014,10,4,Fri,109.65,Car Oil,Automotive
18/10/2014,129,2117,1.29,2014,10,5,Sat,166.41,Baby Diapers,Groceries
19/10/2014,119,1998,1.29,2014,10,6,Sun,153.51,Lego Set,Toys
20/10/2014,45,2049,1.29,2014,10,0,Mon,58.05,Basketball,Sports
21/10/2014,78,2067,1.29,2014,10,1,Tue,100.62,Sony Headphones,Electronics
22/10/2014,90,1977,1.29,2014,10,2,Wed,116.1,Lego Set,Toys
23/10/2014,78,1899,1.29,2014,10,3,Thu,100.62,Women Jeans,Clothing
24/10/2014,62,1837,1.29,2014,10,4,Fri,79.98,Notebook,Office Supplies
25/10/2014,97,1740,1.29,2014,10,5,Sat,125.13,Notebook,Office Supplies
26/10/2014,111,1629,1.29,2014,10,6,Sun,143.19,Men T-Shirt,Clothing
27/10/2014,55,1574,1.29,2014,10,0,Mon,70.95,Baby Diapers,Groceries
28/10/2014,60,1510,1.29,2014,10,1,Tue,77.4,Samsung Galaxy S22,Electronics
29/10/2014,61,1449,1.29,2014,10,2,Wed,78.69,Garden Shovel,Home & Garden
30/10/2014,81,1368,1.49,2014,10,3,Thu,120.69,Shampoo,Beauty & Health
31/10/2014,131,1237,1.49,2014,10,4,Fri,195.19,Men T-Shirt,Clothing
01/11/2014,160,1077,1.49,2014,11,5,Sat,238.4,Women Jeans,Clothing
02/11/2014,131,946,1.49,2014,11,6,Sun,195.19,Face Cream,Beauty & Health
03/11/2014,43,903,1.49,2014,11,0,Mon,64.07,Wall Paint,Home & Garden
04/11/2014,34,869,1.49,2014,11,1,Tue,50.66,HP Laptop,Electronics
05/11/2014,33,836,1.49,2014,11,2,Wed,49.17,Women Jeans,Clothing
06/11/2014,37,799,1.49,2014,11,3,Thu,55.13,Lego Set,Toys
07/11/2014,82,717,1.49,2014,11,4,Fri,122.18,Notebook,Office Supplies
08/11/2014,542,175,1.49,2014,11,5,Sat,807.58,Yoga Mat,Sports
09/11/2014,239,0,1.49,2014,11,6,Sun,356.11,Organic Milk,Groceries
10/11/2014,51,0,1.49,2014,11,0,Mon,75.99,Toy Car,Toys
11/11/2014,51,80,1.49,2014,11,1,Tue,75.99,Men T-Shirt,Clothing
12/11/2014,41,34,1.49,2014,11,2,Wed,61.09,Lego Set,Toys
13/11/2014,1,33,1.49,2014,11,3,Thu,1.49,Wiper Blades,Automotive
14/11/2014,0,33,1.49,2014,11,4,Fri,0,Women Jeans,Clothing
15/11/2014,1,32,1.49,2014,11,5,Sat,1.49,Basketball,Sports
16/11/2014,0,32,1.49,2014,11,6,Sun,0,Sony Headphones,Electronics
17/11/2014,0,32,1.49,2014,11,0,Mon,0,Lego Set,Toys
18/11/2014,7,25,1.49,2014,11,1,Tue,10.43,Garden Shovel,Home & Garden
19/11/2014,1,24,1.49,2014,11,2,Wed,1.49,Garden Shovel,Home & Garden
20/11/2014,4,20,1.29,2014,11,3,Thu,5.16,Novel Book,Books
21/11/2014,1,19,1.29,2014,11,4,Fri,1.29,HP Laptop,Electronics
22/11/2014,1,18,1.29,2014,11,5,Sat,1.29,HP Laptop,Electronics
23/11/2014,2,16,1.29,2014,11,6,Sun,2.58,Novel Book,Books
24/11/2014,0,16,1.29,2014,11,0,Mon,0,Toy Car,Toys
25/11/2014,0,16,1.29,2014,11,1,Tue,0,Car Oil,Automotive
26/11/2014,0,16,1.29,2014,11,2,Wed,0,Men T-Shirt,Clothing
27/11/2014,0,16,1.29,2014,11,3,Thu,0,Women Jeans,Clothing
28/11/2014,0,16,1.29,2014,11,4,Fri,0,Sony Headphones,Electronics
29/11/2014,0,16,1.29,2014,11,5,Sat,0,iPhone 14,Electronics
30/11/2014,0,16,1.29,2014,11,6,Sun,0,Wiper Blades,Automotive
01/12/2014,0,16,1.29,2014,12,0,Mon,0,Basketball,Sports
02/12/2014,0,16,1.29,2014,12,1,Tue,0,Garden Shovel,Home & Garden
03/12/2014,0,16,1.29,2014,12,2,Wed,0,Shampoo,Beauty & Health
